iter	Passed	Remaining
0	0	217
1	0	184
2	0	165
3	0	158
4	0	160
5	0	158
6	1	174
7	1	179
8	1	191
9	1	186
10	2	184
11	2	180
12	2	178
13	2	175
14	2	181
15	3	186
16	3	186
17	3	188
18	3	185
19	3	189
20	4	187
21	4	186
22	4	184
23	4	182
24	4	179
25	4	177
26	4	174
27	4	172
28	5	169
29	5	168
30	5	166
31	5	163
32	5	161
33	5	160
34	5	157
35	5	156
36	5	155
37	6	153
38	6	152
39	6	151
40	6	150
41	6	149
42	6	148
43	6	147
44	6	147
45	7	146
46	7	145
47	7	145
48	7	144
49	7	145
50	7	145
51	7	144
52	8	144
53	8	144
54	8	143
55	8	143
56	8	142
57	8	142
58	8	141
59	8	140
60	9	140
61	9	139
62	9	141
63	9	142
64	9	142
65	10	141
66	10	141
67	10	141
68	10	140
69	10	140
70	10	140
71	11	141
72	11	143
73	11	144
74	11	144
75	12	145
76	12	145
77	12	145
78	12	144
79	12	144
80	12	144
81	12	143
82	12	142
83	13	141
84	13	141
85	13	140
86	13	140
87	13	139
88	13	139
89	13	138
90	13	138
91	13	137
92	14	137
93	14	136
94	14	136
95	14	135
96	14	135
97	14	134
98	14	134
99	14	134
100	15	133
101	15	133
102	15	135
103	15	135
104	15	135
105	16	135
106	16	135
107	16	135
108	16	134
109	16	134
110	16	133
111	16	133
112	16	132
113	17	132
114	17	132
115	17	132
116	17	133
117	17	133
118	18	133
119	18	133
120	18	134
121	18	134
122	19	135
123	19	136
124	19	137
125	19	137
126	21	145
127	21	145
128	21	145
129	21	145
130	21	145
131	22	144
132	22	144
133	22	144
134	22	143
135	22	143
136	22	142
137	22	142
138	22	141
139	22	140
140	23	140
141	23	139
142	23	139
143	23	139
144	23	139
145	23	139
146	23	139
147	24	138
148	24	138
149	24	138
150	25	141
151	25	141
152	25	142
153	25	142
154	26	142
155	26	142
156	26	142
157	26	141
158	26	141
159	26	140
160	26	140
161	27	140
162	27	140
163	27	140
164	27	140
165	27	140
166	28	139
167	28	139
168	28	139
169	28	139
170	28	139
171	29	140
172	29	140
173	29	141
174	30	141
175	30	141
176	30	141
177	30	142
178	30	141
179	31	141
180	31	141
181	31	141
182	31	141
183	31	141
184	32	141
185	32	140
186	32	140
187	32	141
188	32	141
189	33	141
190	33	141
191	33	141
192	33	141
193	34	142
194	34	141
195	34	142
196	34	142
197	35	142
198	35	142
199	35	142
200	35	142
201	36	143
202	36	144
203	36	144
204	37	144
205	37	145
206	37	145
207	38	145
208	38	146
209	39	147
210	39	147
211	39	147
212	39	147
213	39	146
214	40	147
215	40	146
216	40	147
217	40	147
218	41	146
219	41	146
220	41	147
221	42	147
222	42	147
223	42	147
224	42	146
225	42	146
226	42	146
227	43	146
228	43	145
229	43	145
230	43	144
231	43	144
232	43	143
233	43	143
234	43	142
235	44	142
236	44	142
237	44	141
238	44	141
239	44	140
240	44	140
241	44	140
242	44	140
243	45	139
244	45	139
245	45	139
246	45	139
247	45	139
248	46	138
249	46	138
250	46	138
251	46	137
252	46	137
253	46	136
254	46	136
255	46	136
256	47	136
257	47	136
258	47	135
259	47	135
260	47	135
261	47	134
262	48	134
263	48	134
264	48	133
265	48	133
266	48	133
267	48	133
268	48	133
269	49	133
270	49	132
271	49	132
272	49	132
273	49	132
274	50	131
275	50	131
276	50	131
277	50	131
