iter	RMSE
245	1.568839799
246	1.567436474
247	1.566040621
248	1.564626555
249	1.563248417
250	1.561897561
251	1.560541907
252	1.559181889
253	1.557854762
254	1.556508904
255	1.55519856
256	1.553873273
257	1.552548317
258	1.551236984
259	1.549969921
260	1.548570317
261	1.547299815
262	1.54601485
263	1.544698681
264	1.543448646
265	1.542154794
266	1.540856352
267	1.539611387
268	1.538385957
269	1.537144836
270	1.523377648
271	1.522139871
272	1.520929213
273	1.519684184
274	1.51849427
275	1.517276371
276	1.516078848
277	1.514902189
278	1.513717155
279	1.502311988
280	1.501154664
281	1.49999402
282	1.49881446
283	1.497675193
284	1.495587911
285	1.483434838
286	1.482307634
287	1.481170033
288	1.480054603
289	1.478891951
290	1.464698824
291	1.463591461
292	1.462469271
293	1.461388132
294	1.460312679
295	1.459203322
296	1.458121406
297	1.445228017
298	1.444102168
299	1.431273382
300	1.430160983
301	1.429026071
302	1.427977958
303	1.426899988
304	1.425848114
305	1.424782354
306	1.423727541
307	1.411277357
308	1.410197694
309	1.403069116
310	1.402051687
311	1.391015226
312	1.389989469
313	1.388983811
314	1.387968828
315	1.386914012
316	1.385924156
317	1.384925092
318	1.383931357
319	1.382940154
320	1.381957008
321	1.380979108
322	1.369832517
323	1.368871492
324	1.367883732
325	1.366874922
326	1.36591514
327	1.355015193
328	1.342643634
329	1.341683583
330	1.340742479
331	1.339806374
332	1.338861479
333	1.337921665
334	1.336962351
335	1.336046027
336	1.335121225
337	1.334170542
338	1.333263814
339	1.332002693
340	1.331110178
341	1.33020918
342	1.32931304
343	1.319064198
344	1.318173904
345	1.317264134
346	1.316375229
347	1.315512112
348	1.314635533
349	1.304643427
350	1.303790739
351	1.302921198
352	1.293176907
353	1.283057342
354	1.281896304
355	1.272524781
356	1.271599076
357	1.261838384
358	1.261001717
359	1.260169587
360	1.259299608
361	1.258476343
362	1.257363596
363	1.246487684
364	1.245388036
365	1.235475329
366	1.226362925
367	1.225281841
368	1.224221053
369	1.223155287
370	1.213766931
371	1.212720095
372	1.21171038
373	1.210880174
374	1.210085825
375	1.209075181
376	1.208301268
377	1.207263372
378	1.20629346
379	1.205295806
380	1.204305243
381	1.203523692
382	1.19485487
383	1.193855382
384	1.192884891
385	1.192096802
386	1.190073016
387	1.189149839
388	1.188372904
389	1.187602575
390	1.177821741
391	1.177094138
392	1.176182417
393	1.168953367
394	1.168194635
395	1.167293176
396	1.166196735
397	1.165489249
398	1.16432606
399	1.163625894
400	1.162874536
401	1.154352012
402	1.1534766
403	1.152627056
404	1.151926739
405	1.151008383
406	1.150306235
407	1.142083973
408	1.141409007
409	1.140307535
410	1.139624
411	1.138949406
412	1.138236559
413	1.137562008
414	1.136908908
415	1.136244648
416	1.135598812
417	1.134529512
418	1.126127581
419	1.125447639
420	1.124558685
421	1.12388642
422	1.123255752
423	1.114437542
424	1.113774965
425	1.11314956
426	1.112527623
427	1.111909131
428	1.11124355
429	1.110609817
430	1.110001526
431	1.109355951
432	1.108753324
433	1.108133331
434	1.107529063
435	1.106937356
436	1.106339787
437	1.105741238
438	1.105021004
439	1.104295012
440	1.103719302
441	1.103125867
442	1.102425784
443	1.101823931
444	1.101260793
445	1.100651295
446	1.09207508
447	1.091507981
448	1.083921664
449	1.083364852
450	1.080859697
451	1.080307846
452	1.079759056
453	1.077324468
454	1.070079737
455	1.069497618
456	1.068955499
457	1.068407783
458	1.060791813
459	1.06025433
460	1.059703117
461	1.058943497
462	1.058414159
463	1.051432429
464	1.05090551
465	1.044090703
466	1.043466546
467	1.042910582
468	1.042374946
469	1.041822164
470	1.041099803
471	1.040580843
472	1.040072889
473	1.039351416
474	1.032703611
475	1.032167441
476	1.031570475
477	1.022702146
478	1.01464754
479	1.014105181
480	1.013607304
481	1.013019404
482	1.012527443
483	1.012002513
484	1.011515951
485	1.003111005
486	1.002614844
487	1.002042411
488	1.001555924
489	1.001078991
490	0.9996568875
491	0.9991700981
492	0.9977709999
493	0.997222451
494	0.9967572982
495	0.9962878817
496	0.9903034718
497	0.9897604061
498	0.9893021774
499	0.9887652574
500	0.9882980999
501	0.9878205061
502	0.9809918289
503	0.9805364254
504	0.9749836032
505	0.9736677342
506	0.965854192
507	0.9653443491
508	0.9599317201
509	0.9594272347
510	0.9589260284
511	0.9584227976
512	0.9579674292
513	0.9574701298
514	0.9569760663
515	0.9565287757
516	0.9561030909
517	0.9556097964
518	0.9549323591
519	0.954452848
520	0.9540364211
521	0.9535671232
522	0.9530960823
523	0.9526865879
524	0.9522208817
525	0.9518043575
526	0.9513486766
527	0.9508912825
528	0.946176894
529	0.9457298115
530	0.9452705832
531	0.9439545632
532	0.943517112
533	0.937377974
534	0.9369444735
535	0.9365137197
536	0.9360856933
537	0.9355593369
538	0.9343137909
539	0.9338984874
540	0.9334819832
541	0.9330681046
542	0.9271480763
543	0.9267760122
544	0.9263678033
545	0.9259621507
546	0.9255590367
547	0.9251584436
548	0.9247603539
549	0.9242690077
550	0.9238757537
551	0.9234849554
552	0.9223245001
553	0.918093698
554	0.9113555707
555	0.9109978539
556	0.9046681328
557	0.9043158732
558	0.9025070927
559	0.9021468512
560	0.9017970765
561	0.9014321377
562	0.9009765836
563	0.9006326613
564	0.900297467
565	0.8955416097
566	0.8951979579
567	0.8887366728
568	0.8883900096
569	0.8880374215
570	0.8877015896
571	0.8814501835
572	0.8811096421
573	0.8807655589
574	0.8804302422
575	0.8800870333
576	0.8797440274
577	0.8794062271
578	0.8790798017
579	0.8773042607
580	0.8751562433
581	0.8748217634
582	0.8745093422
583	0.8741828085
584	0.8738691301
585	0.8735604742
586	0.8676097572
587	0.8673068051
588	0.8670000695
589	0.8651108972
590	0.8647952392
591	0.864488159
592	0.8641773541
593	0.86387381
594	0.8635654221
595	0.8632612862
596	0.8629565414
597	0.8611100505
598	0.860816851
599	0.8605125196
600	0.8586851154
601	0.8583887904
602	0.8580956377
603	0.8524112245
604	0.8521157534
605	0.8518255571
606	0.8515335962
607	0.8512479183
608	0.8509648931
609	0.8506901536
610	0.8504054846
611	0.845785472
612	0.8455022115
613	0.8452235358
614	0.839843867
615	0.8395705627
616	0.8392973266
617	0.8340814921
618	0.8338081431
619	0.8335392127
620	0.8332729791
621	0.8316140724
622	0.8313437106
623	0.8274254299
624	0.8271562756
625	0.8257614905
626	0.8204948794
627	0.8202278072
628	0.8199639076
629	0.8197112237
630	0.8193517966
631	0.8190938974
632	0.8188436209
633	0.8185919375
634	0.8183439847
635	0.818095434
636	0.8178463416
637	0.8176006302
638	0.8121679387
639	0.8119206184
640	0.8116726686
641	0.8081450667
642	0.8079050172
643	0.803204583
644	0.802936701
645	0.8026880917
646	0.8024469716
647	0.7980654691
648	0.7977388612
649	0.797505665
650	0.7972433908
651	0.7970036681
652	0.7945844258
653	0.7934888031
654	0.7932501245
655	0.7930232207
656	0.7927924817
657	0.7924819571
658	0.79224776
659	0.7920210465
660	0.7917953112
661	0.7878783569
662	0.7843402691
663	0.783670803
664	0.7834534147
665	0.7832236002
666	0.7830039071
667	0.782782008
668	0.7824880949
669	0.7780005558
670	0.7777742813
671	0.7754878314
672	0.7752754418
673	0.774979225
674	0.7747637681
675	0.7745448618
676	0.7703728527
677	0.7701672556
678	0.7681230087
679	0.7679132109
680	0.7677057212
681	0.7657050713
682	0.7654997207
683	0.7652935079
684	0.7650944199
685	0.764898509
686	0.7609437519
687	0.760744876
688	0.7604723831
689	0.7602746148
690	0.7600774555
691	0.7591247094
692	0.7552991556
693	0.755104171
694	0.7532744344
695	0.7503196375
696	0.7501288019
697	0.749548702
698	0.7493590456
699	0.7491728581
700	0.7489858064
701	0.748800228
702	0.7486168178
703	0.7484352761
704	0.7482404021
705	0.7480609256
706	0.7466542055
707	0.7464729904
708	0.7423624684
709	0.7405685892
710	0.7370289043
711	0.7340550031
712	0.7330340527
713	0.7324860522
714	0.7323093178
715	0.7320668383
716	0.7318913097
717	0.731720124
718	0.7315451206
719	0.7298509104
720	0.7296748459
721	0.726349229
722	0.7235847476
723	0.7234142003
724	0.723240821
725	0.7230730442
726	0.7214544374
727	0.721288376
728	0.7211230072
729	0.7209561832
730	0.720785891
731	0.7206274084
732	0.7187086118
733	0.7174342862
734	0.7145572329
735	0.714396403
736	0.7119173599
737	0.709532023
738	0.7086159689
739	0.7084575412
740	0.7069492865
741	0.7067861095
742	0.7066275303
743	0.7055630733
744	0.7054084962
745	0.7042617317
746	0.7041022476
747	0.7039528908
748	0.7036767275
749	0.7035245443
750	0.7033773241
751	0.7024962529
752	0.7015941232
753	0.7014414154
754	0.699319926
755	0.6983564939
756	0.6974371706
757	0.6942372109
758	0.6940924891
759	0.6939467749
760	0.6927570792
761	0.6926141083
762	0.6924682431
763	0.689571199
764	0.6874677645
765	0.6873226458
766	0.6871845122
767	0.6870466608
768	0.6850179892
769	0.6848716754
770	0.682291212
771	0.6821524247
772	0.6820166888
773	0.6818772842
774	0.681738828
775	0.6815856602
776	0.6814485406
777	0.6813123472
778	0.6806648039
779	0.6805269425
780	0.6803984884
781	0.6797677733
782	0.6796411252
783	0.6769792624
784	0.6768490185
785	0.676720584
786	0.6765879038
787	0.6764371842
788	0.6756308381
789	0.6755021215
790	0.6753798746
791	0.675254589
792	0.6745193254
793	0.6743910156
794	0.6735996261
795	0.6734725562
796	0.6728487393
797	0.6727300734
798	0.6725942758
799	0.6724733209
800	0.671692567
801	0.6696289478
802	0.6695135537
803	0.6693969078
804	0.6686265766
805	0.6685132004
806	0.6671662255
807	0.6670493895
808	0.6644563624
809	0.6643373196
810	0.6631728542
811	0.6630635515
812	0.6623290371
813	0.6622155736
814	0.6606900652
815	0.6599736189
816	0.6598639634
817	0.6582393301
818	0.6581278178
819	0.6580165539
820	0.6573334133
821	0.6555359341
822	0.6550082035
823	0.6549010216
824	0.6536539802
825	0.6535476007
826	0.6516652918
827	0.6515622536
828	0.6508894487
829	0.6503435529
830	0.6502351493
831	0.6501337561
832	0.650030681
833	0.6487245971
834	0.6486240853
835	0.6485250649
836	0.6484280567
837	0.6477709655
838	0.6471692927
839	0.645675041
840	0.6455762297
841	0.6454814312
842	0.6453862003
843	0.6437131633
844	0.6422311328
845	0.6421345968
846	0.6420356444
847	0.6408100871
848	0.6396054728
849	0.639513552
850	0.637961471
851	0.6378692912
852	0.6377712572
853	0.6376796659
854	0.6375903735
855	0.6363973001
856	0.6350027653
857	0.6349071224
858	0.6343071094
859	0.6325009803
860	0.6309079492
861	0.6293060218
862	0.6285596613
863	0.6283544809
864	0.6277809957
865	0.6276901718
866	0.6270706575
867	0.6263329042
868	0.6257571718
869	0.6256695992
870	0.6244097795
871	0.624127648
872	0.6227803604
873	0.622691269
874	0.6211858282
875	0.6210882583
876	0.6210031217
877	0.6204628998
878	0.620379299
879	0.6202954088
880	0.6202092682
881	0.6201263758
882	0.6198548801
883	0.6191687598
884	0.6186434037
885	0.6185567199
886	0.6184765575
887	0.6183949236
888	0.6183097537
889	0.6182308158
890	0.6181458379
891	0.6166801499
892	0.6166013854
893	0.6165212028
894	0.6164378919
895	0.6148514024
896	0.6143390815
897	0.6142639308
898	0.6141848212
899	0.6137501685
900	0.6136683863
901	0.6118720626
902	0.6102990913
903	0.6091802987
904	0.6091062161
905	0.6090252115
906	0.608951064
907	0.6088746531
908	0.6087968119
909	0.608725636
910	0.608226855
911	0.6081498703
912	0.6076853128
913	0.6057488588
914	0.6056759659
915	0.6049514122
916	0.603296214
917	0.6032223998
918	0.6031528156
919	0.6019796915
920	0.601910209
921	0.6018419197
922	0.6017730422
923	0.6017059906
924	0.6012537571
925	0.6011868845
926	0.6011211934
927	0.6010522598
928	0.600985944
929	0.599945444
930	0.5998789714
931	0.5994346931
932	0.5993698863
933	0.5981092808
934	0.5980426967
935	0.5979788456
936	0.5979133622
937	0.5978513788
938	0.5966242723
939	0.5956642439
940	0.5956016321
941	0.5955401536
942	0.5954763396
943	0.5938371675
944	0.5936811354
945	0.5936203587
946	0.593559772
947	0.5934991022
948	0.5923767525
949	0.5911519109
950	0.5910884378
951	0.5910225809
952	0.5909630077
953	0.5896031184
954	0.5895452797
955	0.5894751505
956	0.5894179982
957	0.589358807
958	0.5882294541
959	0.5873762183
960	0.5862680337
961	0.586204767
962	0.5853443598
963	0.5849202076
964	0.5845007618
965	0.5844431812
966	0.5843864574
967	0.5831918476
968	0.5828552584
969	0.5828004071
970	0.5827435466
971	0.5826872169
972	0.5818653785
973	0.5815892755
974	0.5805893867
975	0.5803870265
976	0.5793519107
977	0.5789498766
978	0.5788971548
979	0.5784960252
980	0.5784368581
981	0.57764381
982	0.5772650236
983	0.5772121872
984	0.5771607427
985	0.5771034546
986	0.5767391125
987	0.5763508926
988	0.5762942914
989	0.5759266434
990	0.5758706295
991	0.5758215407
992	0.5754603623
993	0.5746542849
994	0.5746062177
995	0.5745562216
996	0.5742013102
997	0.5731246497
998	0.5730775178
999	0.5729775837
